shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                       ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:55 ,     1299 ,       1039 ,в235551 ,"Вино ""Masamadre"" Red Blend, Calatayud DO, 2020 "                                        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:54 ,     1499 ,       1199 ,в243531 ,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2022 "                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:57 ,     1399 ,       1399 ,в223542 ,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2021 "                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:28:01 ,     1099 ,       1099 ,в192668 ,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2019 "                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:28:03 ,      949 ,        839 ,в146947 ,"Коньяк ""Киновский"" КВ 7 лет,  0.5 л"                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:52 ,      859 ,        749 ,в62812  ,"Коньяк ""Киновский"" Пятилетний,  0.5 л"                                                  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:56 ,      539 ,        539 ,в62813  ,"Коньяк ""Киновский"" Пятилетний,  350 мл"                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:28:00 ,      439 ,        439 ,в82535  ,"Коньяк ""Киновский"" Пятилетний,  250 мл"                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:28:04 ,      209 ,        209 ,в82702  ,"Коньяк ""Киновский"" Пятилетний, фляга,  100 мл"                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:28:07 ,     1190 ,       1190 ,в100024 ,"Коньяк ""Киновский"" Пятилетний,  0.7 л"                                                  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:28:09 ,     1649 ,       1649 ,в214880 ,"Коньяк ""Киновский"" 5-летний,  1 л"                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:28:08 ,     1240 ,        749 ,в65025  ,"Коньяк ""Сокровище Тифлиса"" 3-летний,  0.5 л"                                            ,
